4,93,21
4,83,24
4,64,18
4,64,29
4,51,33
4,45,39
4,31,46
4,24,52
4,19,64
5,525,24
7,626,14
2,381,142
2,369,145
2,357,150
2,345,155
2,333,154
2,322,161
2,308,164
2,295,167
2,283,169
2,270,173
2,260,173
2,247,172
2,236,177
2,221,178
2,208,179
2,196,183
2,181,184
2,171,188
2,157,191
2,144,192
2,133,196
2,119,196
2,108,196
2,94,202
2,80,203
2,66,206
2,57,210
2,43,213
2,29,213
2,20,211
2,21,218
3,539,119
3,531,123
3,519,124
3,503,128
3,489,129
3,475,130
3,460,136
3,446,137
3,432,141
3,417,143
3,405,143
3,389,145
3,374,148
3,360,150
3,343,153
3,326,155
3,310,157
3,294,160
3,273,163
3,260,165
3,240,164
3,223,167
3,204,167
3,186,165
3,167,169
3,152,168
3,134,164
3,116,166
3,100,168
3,82,165
3,64,168
3,48,166
3,33,164
3,27,167
3,16,174
12,616,9
15,38,277
9,287,378
9,278,372
9,275,368
9,272,361
9,266,356
9,262,345
9,258,334
9,249,321
9,241,313
9,231,305
9,217,297
9,206,291
9,190,286
9,177,282
9,164,278
9,152,275
9,146,284
9,122,272
9,107,270
9,92,269
9,93,267
9,80,262
9,61,261
9,54,258
9,41,254
9,33,253
8,628,18
8,627,22
8,628,27
8,623,38
8,625,50
8,626,64
8,625,76
8,624,84
8,625,95
8,620,104
8,615,116
8,613,125
8,608,133
8,598,144
8,593,152
8,583,161
8,574,172
8,571,180
8,563,189
8,554,201
8,547,211
8,541,220
8,535,232
8,527,244
8,525,255
8,518,269
8,510,280
8,504,292
8,499,306
8,494,322
8,491,336
8,488,351
8,490,361
8,493,367
8,492,374
8,490,379
19,687,144
19,671,142
19,666,140
19,656,138
6,681,159
6,671,162
6,668,165
6,658,166
6,644,170
6,631,171
6,621,175
6,609,176
6,598,182
6,587,183
6,578,184
6,567,188
6,554,195
6,546,196
6,533,201
6,523,205
6,507,207
6,499,208
6,483,209
6,469,214
6,458,218
6,443,219
6,429,222
6,413,223
6,398,224
6,385,226
6,367,230
6,352,231
6,337,232
6,321,236
6,305,235
6,278,235
6,276,241
6,258,243
6,241,244
6,228,247
6,212,248
6,197,249
6,181,249
6,166,248
6,151,251
6,137,248
6,122,248
6,109,249
6,92,244
6,81,244
6,67,243
6,54,244
13,626,25
13,628,25
13,629,26
13,627,32
13,629,46
13,623,56
13,622,66
13,622,79
13,617,90
13,613,100
13,607,107
13,602,118
13,597,129
13,617,137
13,606,141
13,595,149
13,587,154
13,577,156
11,628,16
11,630,24
11,632,35
11,628,26
11,624,38
11,623,50
11,620,61
11,618,70
11,616,80
11,614,88
11,610,100
11,606,108
11,600,117
11,596,128
11,590,135
11,584,147
11,577,155
11,571,166
11,567,176
11,556,188
11,550,197
11,543,210
11,534,220
11,530,232
11,524,244
11,515,261
11,511,273
11,506,288
11,502,302
11,496,315
11,492,331
11,488,346
11,485,358
11,482,367
11,482,372
11,479,379
18,41,380
18,56,377
18,74,372
18,90,365
18,108,362
18,124,354
18,142,344
18,161,338
18,176,332
18,195,325
18,212,323
18,227,329
18,242,332
18,255,340
18,266,351
18,264,351
18,281,367
18,287,371
18,289,376
18,284,382
24,683,262
22,689,193
22,684,196
22,681,198
21,564,193
21,559,204
21,555,217
21,549,231
21,546,242
21,542,256
21,534,268
21,528,282
21,520,295
21,511,309
21,505,323
21,499,333
21,493,347
21,490,358
21,488,366
21,486,373
21,487,377
26,551,272
20,566,134
20,552,135
20,537,134
20,521,132
20,509,135
20,490,134
20,479,133
20,459,131
20,448,134
20,431,134
20,410,131
20,400,134
20,381,133
20,366,131
20,350,135
20,334,136
20,316,135
20,300,134
20,286,137
20,266,137
20,251,134
20,238,137
20,219,137
20,204,138
20,187,138
20,171,141
20,155,141
20,138,137
20,121,140
20,107,141
16,677,223
16,674,222
16,661,224
16,640,223
16,625,223
16,611,227
16,592,227
16,576,229
16,560,228
16,541,234
16,522,233
16,508,239
16,493,240
16,471,241
16,457,239
16,439,241
16,421,241
16,403,240
16,385,240
16,366,243
16,347,246
16,331,248
16,310,250
16,292,255
16,274,256
16,257,256
16,236,256
16,218,252
16,202,252
